-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time                                            0.992 ms        0.990 ms          696 bytes_per_second=15.0161Gi/s
benchmark_channel_sendrecv/manual_time                                    0.534 ms        0.532 ms         1301 bytes_per_second=27.9217Gi/s
benchmark_2dhalo/manual_time                                              0.741 ms        0.740 ms          942 active_ranks=1 bytes_per_second=126.442Mi/s nx=512
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time                    1.21 us         2.64 us       577129 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time                    1.22 us         2.71 us       573712 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time                   1.22 us         2.57 us       572743 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time                  1.26 us         2.71 us       556317 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time                 1.35 us         2.76 us       516378 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time                5.81 us         6.30 us       124108 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time               19.6 us         20.1 us        35901 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time               147 us          147 us         4757 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time             1260 us         1257 us          552 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time           13626 us        13576 us           51 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time           27882 us        27773 us           25 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time              0.653 us         1.97 us      1072174 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time              0.653 us         1.96 us      1074270 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time             0.719 us         2.03 us       974017 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time            0.805 us         2.16 us       864529 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time           0.989 us         2.34 us       702608 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time           5.27 us         5.75 us       132803 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time          19.8 us         19.9 us        35991 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time          149 us          147 us         4773 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time        1276 us         1272 us          547 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time      13601 us        13550 us           52 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time      27777 us        27667 us           25 bytes=536.871M
benchmark_osu_latency_MPI_isendirecv/1/manual_time                         1.30 us         1.77 us       538869 bytes=2
benchmark_osu_latency_MPI_isendirecv/8/manual_time                         1.30 us         1.76 us       540385 bytes=16
benchmark_osu_latency_MPI_isendirecv/64/manual_time                        1.32 us         1.79 us       529721 bytes=128
benchmark_osu_latency_MPI_isendirecv/512/manual_time                       1.35 us         1.81 us       517194 bytes=1.024k
benchmark_osu_latency_MPI_isendirecv/4096/manual_time                      1.47 us         1.93 us       474759 bytes=8.192k
benchmark_osu_latency_MPI_isendirecv/32768/manual_time                     5.14 us         6.30 us       133128 bytes=65.536k
benchmark_osu_latency_MPI_isendirecv/262144/manual_time                    21.5 us         22.8 us        32231 bytes=524.288k
benchmark_osu_latency_MPI_isendirecv/2097152/manual_time                    141 us          141 us         4981 bytes=4.1943M
benchmark_osu_latency_MPI_isendirecv/16777216/manual_time                  1229 us         1224 us          574 bytes=33.5544M
benchmark_osu_latency_MPI_isendirecv/134217728/manual_time                13530 us        13466 us           51 bytes=268.435M
benchmark_osu_latency_MPI_isendirecv/268435456/manual_time                27656 us        27531 us           25 bytes=536.871M
benchmark_osu_latency_MPI_sendrecv/1/manual_time                           1.26 us         1.72 us       554602 bytes=2
benchmark_osu_latency_MPI_sendrecv/8/manual_time                           1.26 us         1.72 us       554958 bytes=16
benchmark_osu_latency_MPI_sendrecv/64/manual_time                          1.29 us         1.75 us       544094 bytes=128
benchmark_osu_latency_MPI_sendrecv/512/manual_time                         1.32 us         1.78 us       523620 bytes=1.024k
benchmark_osu_latency_MPI_sendrecv/4096/manual_time                        1.45 us         1.90 us       484541 bytes=8.192k
benchmark_osu_latency_MPI_sendrecv/32768/manual_time                       5.13 us         6.29 us       135033 bytes=65.536k
benchmark_osu_latency_MPI_sendrecv/262144/manual_time                      21.4 us         22.7 us        32271 bytes=524.288k
benchmark_osu_latency_MPI_sendrecv/2097152/manual_time                      141 us          141 us         4977 bytes=4.1943M
benchmark_osu_latency_MPI_sendrecv/16777216/manual_time                    1226 us         1222 us          563 bytes=33.5544M
benchmark_osu_latency_MPI_sendrecv/134217728/manual_time                  13669 us        13599 us           51 bytes=268.435M
benchmark_osu_latency_MPI_sendrecv/268435456/manual_time                  27629 us        27492 us           25 bytes=536.871M
benchmark_lock_unlock_put/1/manual_time                                    6.68 us         7.11 us       104821 bytes_per_second=1.14237Mi/s
benchmark_lock_unlock_put/8/manual_time                                    6.69 us         7.12 us       104856 bytes_per_second=9.12686Mi/s
benchmark_lock_unlock_put/64/manual_time                                   6.70 us         7.13 us       104503 bytes_per_second=72.8381Mi/s
benchmark_lock_unlock_put/512/manual_time                                  6.76 us         7.20 us       103361 bytes_per_second=578.121Mi/s
benchmark_lock_unlock_put/4096/manual_time                                 8.09 us         8.52 us        86888 bytes_per_second=3.77301Gi/s
benchmark_lock_unlock_put/32768/manual_time                                16.6 us         17.1 us        38019 bytes_per_second=14.67Gi/s
benchmark_lock_unlock_put/262144/manual_time                                100 us          100 us         6991 bytes_per_second=19.496Gi/s
benchmark_lock_unlock_get/1/manual_time                                    6.39 us         7.59 us       109126 bytes_per_second=1.19371Mi/s
benchmark_lock_unlock_get/8/manual_time                                    6.42 us         7.64 us       108830 bytes_per_second=9.50162Mi/s
benchmark_lock_unlock_get/64/manual_time                                   6.44 us         7.66 us       108542 bytes_per_second=75.8584Mi/s
benchmark_lock_unlock_get/512/manual_time                                  6.67 us         7.94 us       104809 bytes_per_second=585.484Mi/s
benchmark_lock_unlock_get/4096/manual_time                                 8.08 us         9.35 us        86652 bytes_per_second=3.77901Gi/s
benchmark_lock_unlock_get/32768/manual_time                                16.1 us         17.5 us        43221 bytes_per_second=15.1444Gi/s
benchmark_lock_unlock_get/262144/manual_time                                103 us          104 us         6791 bytes_per_second=18.948Gi/s
benchmark_lock_unlock_accumulate/1/manual_time                             11.8 us         12.2 us        59342 bytes_per_second=664.315Ki/s
benchmark_lock_unlock_accumulate/8/manual_time                             11.8 us         12.2 us        59482 bytes_per_second=5.18724Mi/s
benchmark_lock_unlock_accumulate/64/manual_time                            11.9 us         12.3 us        58720 bytes_per_second=40.9649Mi/s
benchmark_lock_unlock_accumulate/512/manual_time                           12.1 us         12.5 us        58085 bytes_per_second=323.56Mi/s
benchmark_lock_unlock_accumulate/4096/manual_time                          15.9 us         16.3 us        44348 bytes_per_second=1.92528Gi/s
benchmark_lock_unlock_accumulate/32768/manual_time                         43.1 us         43.5 us        16142 bytes_per_second=5.66958Gi/s
benchmark_lock_unlock_accumulate/262144/manual_time                         270 us          269 us         2595 bytes_per_second=7.24362Gi/s
benchmark_fence_put/1/manual_time                                          4.44 us         5.91 us       157659 bytes_per_second=1.71702Mi/s
benchmark_fence_put/8/manual_time                                          4.46 us         5.94 us       156655 bytes_per_second=13.6841Mi/s
benchmark_fence_put/64/manual_time                                         4.49 us         5.97 us       156267 bytes_per_second=108.829Mi/s
benchmark_fence_put/512/manual_time                                        4.93 us         6.41 us       144767 bytes_per_second=792.967Mi/s
benchmark_fence_put/4096/manual_time                                       6.15 us         7.34 us       113103 bytes_per_second=4.95976Gi/s
benchmark_fence_put/32768/manual_time                                      15.0 us         16.3 us        46568 bytes_per_second=16.3166Gi/s
benchmark_fence_put/262144/manual_time                                     97.7 us         98.8 us         7168 bytes_per_second=19.987Gi/s
benchmark_fence_get/1/manual_time                                          5.30 us         6.55 us       131807 bytes_per_second=1.43841Mi/s
benchmark_fence_get/8/manual_time                                          5.31 us         6.54 us       132001 bytes_per_second=11.4853Mi/s
benchmark_fence_get/64/manual_time                                         5.35 us         6.57 us       130657 bytes_per_second=91.2606Mi/s
benchmark_fence_get/512/manual_time                                        5.58 us         6.80 us       125051 bytes_per_second=699.802Mi/s
benchmark_fence_get/4096/manual_time                                       7.13 us         8.25 us        98192 bytes_per_second=4.2784Gi/s
benchmark_fence_get/32768/manual_time                                      15.3 us         16.2 us        46157 bytes_per_second=15.9067Gi/s
benchmark_fence_get/262144/manual_time                                      104 us          103 us         6848 bytes_per_second=18.8706Gi/s
benchmark_fence_accumulate/1/manual_time                                   9.80 us         11.1 us        71477 bytes_per_second=796.879Ki/s
benchmark_fence_accumulate/8/manual_time                                   9.79 us         11.1 us        71449 bytes_per_second=6.23457Mi/s
benchmark_fence_accumulate/64/manual_time                                  9.88 us         11.1 us        70771 bytes_per_second=49.403Mi/s
benchmark_fence_accumulate/512/manual_time                                 10.1 us         11.0 us        69698 bytes_per_second=387.265Mi/s
benchmark_fence_accumulate/4096/manual_time                                13.3 us         14.2 us        52312 bytes_per_second=2.29729Gi/s
benchmark_fence_accumulate/32768/manual_time                               41.0 us         42.4 us        16931 bytes_per_second=5.94976Gi/s
benchmark_fence_accumulate/262144/manual_time                               267 us          268 us         2614 bytes_per_second=7.30177Gi/s
benchmark_pscw_put/1/manual_time                                           4.99 us         6.29 us       139979 bytes_per_second=1.52844Mi/s
benchmark_pscw_put/8/manual_time                                           5.02 us         6.34 us       139704 bytes_per_second=12.1576Mi/s
benchmark_pscw_put/64/manual_time                                          5.06 us         6.37 us       138494 bytes_per_second=96.5461Mi/s
benchmark_pscw_put/512/manual_time                                         5.38 us         6.72 us       129409 bytes_per_second=725.948Mi/s
benchmark_pscw_put/4096/manual_time                                        6.66 us         7.96 us       105227 bytes_per_second=4.57892Gi/s
benchmark_pscw_put/32768/manual_time                                       15.3 us         16.6 us        45500 bytes_per_second=15.9935Gi/s
benchmark_pscw_put/262144/manual_time                                      98.3 us         99.4 us         6955 bytes_per_second=19.8751Gi/s
benchmark_pscw_get/1/manual_time                                           4.99 us         6.27 us       141207 bytes_per_second=1.53043Mi/s
benchmark_pscw_get/8/manual_time                                           4.97 us         6.24 us       140756 bytes_per_second=12.2875Mi/s
benchmark_pscw_get/64/manual_time                                          4.98 us         6.27 us       141053 bytes_per_second=97.9997Mi/s
benchmark_pscw_get/512/manual_time                                         5.32 us         6.56 us       130654 bytes_per_second=733.883Mi/s
benchmark_pscw_get/4096/manual_time                                        6.78 us         8.11 us       102441 bytes_per_second=4.50363Gi/s
benchmark_pscw_get/32768/manual_time                                       14.8 us         16.0 us        46277 bytes_per_second=16.4692Gi/s
benchmark_pscw_get/262144/manual_time                                      97.6 us         98.7 us         7205 bytes_per_second=20.0055Gi/s
benchmark_pscw_accumulate/1/manual_time                                    10.2 us         11.4 us        68550 bytes_per_second=765.098Ki/s
benchmark_pscw_accumulate/8/manual_time                                    10.2 us         11.5 us        68327 bytes_per_second=5.96641Mi/s
benchmark_pscw_accumulate/64/manual_time                                   10.3 us         11.5 us        67966 bytes_per_second=47.5032Mi/s
benchmark_pscw_accumulate/512/manual_time                                  11.0 us         12.1 us        63688 bytes_per_second=356.323Mi/s
benchmark_pscw_accumulate/4096/manual_time                                 14.7 us         15.9 us        47705 bytes_per_second=2.07371Gi/s
benchmark_pscw_accumulate/32768/manual_time                                41.7 us         43.2 us        16741 bytes_per_second=5.85598Gi/s
benchmark_pscw_accumulate/262144/manual_time                                269 us          269 us         2606 bytes_per_second=7.26538Gi/s
benchmark_sendrecv_comparison/1/manual_time                               0.300 us         1.39 us      2359285 bytes_per_second=50.8697Mi/s
benchmark_sendrecv_comparison/8/manual_time                               0.387 us         1.63 us      1803987 bytes_per_second=315.83Mi/s
benchmark_sendrecv_comparison/64/manual_time                              0.464 us         1.77 us      1484691 bytes_per_second=2.05414Gi/s
benchmark_sendrecv_comparison/512/manual_time                             0.659 us         1.95 us      1106188 bytes_per_second=11.5838Gi/s
benchmark_sendrecv_comparison/4096/manual_time                             5.19 us         5.64 us       135647 bytes_per_second=11.7576Gi/s
benchmark_sendrecv_comparison/32768/manual_time                            19.2 us         19.6 us        36224 bytes_per_second=25.4637Gi/s
benchmark_sendrecv_comparison/262144/manual_time                            156 us          156 us         4491 bytes_per_second=25.0802Gi/s
raw_benchmark_lock_unlock_put/1/manual_time                                6.49 us         6.88 us       107127 bytes_per_second=1.17535Mi/s
raw_benchmark_lock_unlock_put/8/manual_time                                6.54 us         6.93 us       107074 bytes_per_second=9.33234Mi/s
raw_benchmark_lock_unlock_put/64/manual_time                               6.58 us         6.98 us       106356 bytes_per_second=74.1821Mi/s
raw_benchmark_lock_unlock_put/512/manual_time                              6.70 us         7.09 us       104000 bytes_per_second=582.973Mi/s
raw_benchmark_lock_unlock_put/4096/manual_time                             7.94 us         8.33 us        87982 bytes_per_second=3.84515Gi/s
raw_benchmark_lock_unlock_put/32768/manual_time                            16.7 us         17.1 us        41610 bytes_per_second=14.6152Gi/s
raw_benchmark_lock_unlock_put/262144/manual_time                            100 us          100 us         7003 bytes_per_second=19.5293Gi/s
raw_benchmark_lock_unlock_get/1/manual_time                                6.35 us         7.56 us       110115 bytes_per_second=1.20191Mi/s
raw_benchmark_lock_unlock_get/8/manual_time                                6.35 us         7.64 us       110146 bytes_per_second=9.61788Mi/s
raw_benchmark_lock_unlock_get/64/manual_time                               6.37 us         7.60 us       109796 bytes_per_second=76.641Mi/s
raw_benchmark_lock_unlock_get/512/manual_time                              6.60 us         7.81 us       106018 bytes_per_second=592.17Mi/s
raw_benchmark_lock_unlock_get/4096/manual_time                             8.02 us         9.15 us        86788 bytes_per_second=3.80681Gi/s
raw_benchmark_lock_unlock_get/32768/manual_time                            16.4 us         17.4 us        43293 bytes_per_second=14.8804Gi/s
raw_benchmark_lock_unlock_get/262144/manual_time                            103 us          104 us         6116 bytes_per_second=18.9288Gi/s
raw_benchmark_lock_unlock_accumulate/1/manual_time                         11.7 us         12.0 us        59807 bytes_per_second=668.968Ki/s
raw_benchmark_lock_unlock_accumulate/8/manual_time                         11.7 us         12.1 us        59536 bytes_per_second=5.2109Mi/s
raw_benchmark_lock_unlock_accumulate/64/manual_time                        11.9 us         12.3 us        58695 bytes_per_second=40.9066Mi/s
raw_benchmark_lock_unlock_accumulate/512/manual_time                       11.9 us         12.3 us        58462 bytes_per_second=328.165Mi/s
raw_benchmark_lock_unlock_accumulate/4096/manual_time                      16.0 us         16.4 us        43816 bytes_per_second=1.90371Gi/s
raw_benchmark_lock_unlock_accumulate/32768/manual_time                     42.9 us         43.3 us        16231 bytes_per_second=5.68875Gi/s
raw_benchmark_lock_unlock_accumulate/262144/manual_time                     269 us          269 us         2593 bytes_per_second=7.24904Gi/s
raw_benchmark_fence_put/1/manual_time                                      4.33 us         5.65 us       161941 bytes_per_second=1.76225Mi/s
raw_benchmark_fence_put/8/manual_time                                      4.37 us         5.69 us       160289 bytes_per_second=13.9793Mi/s
