-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
-------------------------------------------------------------------------------------------------------------------------------
benchmark_sendrecv/manual_time                                            0.836 ms        0.833 ms          815 bytes_per_second=17.8324Gi/s
benchmark_channel_sendrecv/manual_time                                    0.481 ms        0.480 ms         1389 bytes_per_second=31.0082Gi/s
benchmark_2dhalo/manual_time                                              0.812 ms        0.812 ms          857 active_ranks=1 bytes_per_second=115.419Mi/s nx=512
benchmark_osu_latency_KokkosComm_sendrecv/1/manual_time                    1.57 us         2.17 us       443995 bytes=2
benchmark_osu_latency_KokkosComm_sendrecv/8/manual_time                    1.57 us         2.16 us       446101 bytes=16
benchmark_osu_latency_KokkosComm_sendrecv/64/manual_time                   1.57 us         2.16 us       448270 bytes=128
benchmark_osu_latency_KokkosComm_sendrecv/512/manual_time                  1.61 us         2.20 us       434064 bytes=1.024k
benchmark_osu_latency_KokkosComm_sendrecv/4096/manual_time                 1.69 us         2.28 us       412908 bytes=8.192k
benchmark_osu_latency_KokkosComm_sendrecv/32768/manual_time                5.18 us         5.64 us       136125 bytes=65.536k
benchmark_osu_latency_KokkosComm_sendrecv/262144/manual_time               12.6 us         13.2 us        53962 bytes=524.288k
benchmark_osu_latency_KokkosComm_sendrecv/2097152/manual_time              99.7 us          100 us         6930 bytes=4.1943M
benchmark_osu_latency_KokkosComm_sendrecv/16777216/manual_time              776 us          775 us          910 bytes=33.5544M
benchmark_osu_latency_KokkosComm_sendrecv/134217728/manual_time            9143 us         9106 us           73 bytes=268.435M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time           18255 us        18154 us           37 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time              0.639 us         1.17 us      1098342 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time              0.633 us         1.16 us      1089221 bytes=16
