-------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations UserCounters...
benchmark_lock_unlock_get/64/manual_time                                   6.41 us         7.66 us       109242 bytes_per_second=76.1527Mi/s
benchmark_lock_unlock_get/512/manual_time                                  6.66 us         7.93 us       105110 bytes_per_second=586.938Mi/s
benchmark_lock_unlock_get/4096/manual_time                                 8.19 us         9.45 us        85800 bytes_per_second=3.72829Gi/s
benchmark_lock_unlock_get/32768/manual_time                                16.3 us         17.7 us        42909 bytes_per_second=15.0193Gi/s
benchmark_lock_unlock_get/262144/manual_time                                107 us          108 us         6562 bytes_per_second=18.2634Gi/s
benchmark_lock_unlock_accumulate/1/manual_time                             11.7 us         12.2 us        59748 bytes_per_second=666.161Ki/s
benchmark_lock_unlock_accumulate/8/manual_time                             11.7 us         12.2 us        59904 bytes_per_second=5.20845Mi/s
benchmark_lock_unlock_accumulate/64/manual_time                            11.8 us         12.3 us        59283 bytes_per_second=41.3969Mi/s
benchmark_lock_unlock_accumulate/512/manual_time                           12.0 us         12.4 us        58465 bytes_per_second=326.432Mi/s
benchmark_lock_unlock_accumulate/4096/manual_time                          15.8 us         16.2 us        43219 bytes_per_second=1.93544Gi/s
benchmark_lock_unlock_accumulate/32768/manual_time                         43.8 us         44.3 us        15830 bytes_per_second=5.57161Gi/s
benchmark_lock_unlock_accumulate/262144/manual_time                         273 us          273 us         2556 bytes_per_second=7.15637Gi/s
benchmark_fence_put/1/manual_time                                          4.43 us         5.90 us       157756 bytes_per_second=1.72245Mi/s
benchmark_fence_put/8/manual_time                                          4.47 us         5.94 us       156796 bytes_per_second=13.6565Mi/s
benchmark_fence_put/64/manual_time                                         4.47 us         5.93 us       156303 bytes_per_second=109.345Mi/s
benchmark_fence_put/512/manual_time                                        4.76 us         6.24 us       145903 bytes_per_second=821Mi/s
benchmark_fence_put/4096/manual_time                                       6.12 us         7.34 us       113605 bytes_per_second=4.98345Gi/s
benchmark_fence_put/32768/manual_time                                      15.2 us         16.5 us        45773 bytes_per_second=16.0977Gi/s
benchmark_fence_put/262144/manual_time                                      101 us          102 us         6915 bytes_per_second=19.2819Gi/s
benchmark_fence_get/1/manual_time                                          5.23 us         6.48 us       134128 bytes_per_second=1.45867Mi/s
benchmark_fence_get/8/manual_time                                          5.25 us         6.49 us       133494 bytes_per_second=11.6257Mi/s
benchmark_fence_get/64/manual_time                                         5.30 us         6.52 us       131774 bytes_per_second=92.1706Mi/s
benchmark_fence_get/512/manual_time                                        5.53 us         6.74 us       126986 bytes_per_second=705.814Mi/s
benchmark_fence_get/4096/manual_time                                       7.24 us         8.39 us        98223 bytes_per_second=4.21265Gi/s
benchmark_fence_get/32768/manual_time                                      15.0 us         16.2 us        45739 bytes_per_second=16.2742Gi/s
benchmark_fence_get/262144/manual_time                                      106 us          107 us         6552 bytes_per_second=18.4439Gi/s
benchmark_fence_accumulate/1/manual_time                                   9.79 us         11.2 us        71935 bytes_per_second=798.403Ki/s
benchmark_fence_accumulate/8/manual_time                                   9.80 us         11.2 us        71362 bytes_per_second=6.22793Mi/s
benchmark_fence_accumulate/64/manual_time                                  9.89 us         11.2 us        71104 bytes_per_second=49.3888Mi/s
benchmark_fence_accumulate/512/manual_time                                 10.1 us         11.0 us        69342 bytes_per_second=386.409Mi/s
benchmark_fence_accumulate/4096/manual_time                                13.7 us         14.9 us        50723 bytes_per_second=2.21951Gi/s
benchmark_fence_accumulate/32768/manual_time                               41.8 us         43.2 us        16662 bytes_per_second=5.83398Gi/s
benchmark_fence_accumulate/262144/manual_time                               271 us          271 us         2581 bytes_per_second=7.2081Gi/s
benchmark_pscw_put/1/manual_time                                           5.02 us         6.36 us       139632 bytes_per_second=1.51842Mi/s
benchmark_pscw_put/8/manual_time                                           5.05 us         6.39 us       138371 bytes_per_second=12.0749Mi/s
benchmark_pscw_put/64/manual_time                                          5.07 us         6.40 us       137331 bytes_per_second=96.238Mi/s
benchmark_pscw_put/512/manual_time                                         5.45 us         6.79 us       128809 bytes_per_second=716.779Mi/s
benchmark_pscw_put/4096/manual_time                                        6.76 us         8.09 us       104240 bytes_per_second=4.51249Gi/s
benchmark_pscw_put/32768/manual_time                                       15.3 us         16.6 us        45036 bytes_per_second=15.9168Gi/s
benchmark_pscw_put/262144/manual_time                                       103 us          104 us         6838 bytes_per_second=18.9537Gi/s
benchmark_pscw_get/1/manual_time                                           5.01 us         6.31 us       139816 bytes_per_second=1.52402Mi/s
benchmark_pscw_get/8/manual_time                                           5.00 us         6.29 us       139701 bytes_per_second=12.2092Mi/s
benchmark_pscw_get/64/manual_time                                          5.03 us         6.31 us       138885 bytes_per_second=97.0781Mi/s
benchmark_pscw_get/512/manual_time                                         5.23 us         6.51 us       131375 bytes_per_second=747.377Mi/s
benchmark_pscw_get/4096/manual_time                                        6.83 us         8.20 us       102644 bytes_per_second=4.46569Gi/s
benchmark_pscw_get/32768/manual_time                                       15.1 us         16.2 us        46294 bytes_per_second=16.1892Gi/s
benchmark_pscw_get/262144/manual_time                                       101 us          102 us         7201 bytes_per_second=19.2973Gi/s
benchmark_pscw_accumulate/1/manual_time                                    10.2 us         11.4 us        68361 bytes_per_second=766.058Ki/s
benchmark_pscw_accumulate/8/manual_time                                    10.2 us         11.5 us        68581 bytes_per_second=5.98195Mi/s
benchmark_pscw_accumulate/64/manual_time                                   10.3 us         11.5 us        67954 bytes_per_second=47.4135Mi/s
benchmark_pscw_accumulate/512/manual_time                                  11.1 us         12.0 us        63231 bytes_per_second=353.402Mi/s
benchmark_pscw_accumulate/4096/manual_time                                 14.7 us         15.9 us        47676 bytes_per_second=2.07096Gi/s
benchmark_pscw_accumulate/32768/manual_time                                41.9 us         43.4 us        16603 bytes_per_second=5.82562Gi/s
benchmark_pscw_accumulate/262144/manual_time                                272 us          273 us         2571 bytes_per_second=7.17031Gi/s
benchmark_sendrecv_comparison/1/manual_time                               0.301 us         1.47 us      2336676 bytes_per_second=50.7249Mi/s
benchmark_sendrecv_comparison/8/manual_time                               0.302 us         1.74 us      2327191 bytes_per_second=404.833Mi/s
benchmark_sendrecv_comparison/64/manual_time                              0.355 us         1.84 us      2038501 bytes_per_second=2.68874Gi/s
benchmark_sendrecv_comparison/512/manual_time                             0.477 us         1.97 us      1468792 bytes_per_second=15.9835Gi/s
benchmark_sendrecv_comparison/4096/manual_time                             5.17 us         5.62 us       135633 bytes_per_second=11.8056Gi/s
benchmark_sendrecv_comparison/32768/manual_time                            19.0 us         19.4 us        35951 bytes_per_second=25.6977Gi/s
benchmark_sendrecv_comparison/262144/manual_time                            134 us          134 us         5236 bytes_per_second=29.145Gi/s
raw_benchmark_lock_unlock_put/1/manual_time                                6.52 us         6.92 us       107096 bytes_per_second=1.16956Mi/s
raw_benchmark_lock_unlock_put/8/manual_time                                6.55 us         6.95 us       106293 bytes_per_second=9.31585Mi/s
raw_benchmark_lock_unlock_put/64/manual_time                               6.60 us         6.97 us       105852 bytes_per_second=73.9899Mi/s
raw_benchmark_lock_unlock_put/512/manual_time                              6.68 us         7.06 us       104791 bytes_per_second=584.669Mi/s
raw_benchmark_lock_unlock_put/4096/manual_time                             8.03 us         8.42 us        87162 bytes_per_second=3.8026Gi/s
raw_benchmark_lock_unlock_put/32768/manual_time                            16.6 us         17.0 us        41880 bytes_per_second=14.6974Gi/s
raw_benchmark_lock_unlock_put/262144/manual_time                            106 us          103 us         6775 bytes_per_second=18.4861Gi/s
raw_benchmark_lock_unlock_get/1/manual_time                                6.42 us         7.68 us       110246 bytes_per_second=1.18898Mi/s
raw_benchmark_lock_unlock_get/8/manual_time                                6.34 us         7.62 us       110090 bytes_per_second=9.61954Mi/s
