--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_median           27813 us        27714 us           50 bytes=536.871M
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_stddev             198 us          209 us           50 bytes=2.47436
benchmark_osu_latency_KokkosComm_sendrecv/268435456/manual_time_cv                0.71 %          0.75 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_mean                0.369 us         1.17 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_median              0.369 us         1.17 us           50 bytes=2
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_stddev              0.001 us        0.025 us           50 bytes=9.2177n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/1/manual_time_cv                   0.26 %          2.17 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_mean                0.365 us         1.18 us           50 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_median              0.365 us         1.18 us           50 bytes=16
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_stddev              0.002 us        0.024 us           50 bytes=73.7416n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/8/manual_time_cv                   0.58 %          2.06 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_mean               0.385 us         1.46 us           50 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_median             0.392 us         1.44 us           50 bytes=128
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_stddev             0.022 us        0.070 us           50 bytes=589.933n
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/64/manual_time_cv                  5.72 %          4.77 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_mean              0.481 us         1.65 us           50 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_median            0.484 us         1.65 us           50 bytes=1.024k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_stddev            0.015 us        0.016 us           50 bytes=4.71946u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/512/manual_time_cv                 3.09 %          0.99 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_mean             0.705 us         1.85 us           50 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_median           0.691 us         1.85 us           50 bytes=8.192k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_stddev           0.039 us        0.008 us           50 bytes=37.7557u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/4096/manual_time_cv                5.57 %          0.46 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_mean             4.78 us         5.17 us           50 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_median           4.77 us         5.17 us           50 bytes=65.536k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_stddev          0.017 us        0.014 us           50 bytes=302.046u
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/32768/manual_time_cv               0.36 %          0.26 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_mean            19.0 us         19.4 us           50 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_median          19.0 us         19.4 us           50 bytes=524.288k
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_stddev         0.107 us        0.090 us           50 bytes=2.41637m
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/262144/manual_time_cv              0.56 %          0.47 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_mean            125 us          125 us           50 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_median          125 us          125 us           50 bytes=4.1943M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_stddev        0.489 us        0.428 us           50 bytes=0.0193309
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/2097152/manual_time_cv             0.39 %          0.34 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_mean          1268 us         1261 us           50 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_median        1271 us         1263 us           50 bytes=33.5544M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_stddev        20.3 us         20.2 us           50 bytes=0.154647
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/16777216/manual_time_cv            1.60 %          1.60 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_mean        13708 us        13657 us           50 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_median      13680 us        13631 us           50 bytes=268.435M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_stddev       83.5 us         84.2 us           50 bytes=1.23718
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/134217728/manual_time_cv           0.61 %          0.62 %            50 bytes=0.00%
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_mean        27886 us        27771 us           50 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_median      27850 us        27751 us           50 bytes=536.871M
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_stddev        163 us          189 us           50 bytes=2.47436
benchmark_osu_latency_Kokkos_Comm_mpi_sendrecv/268435456/manual_time_cv           0.58 %          0.68 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/1/manual_time_mean                           1.20 us         1.61 us           50 bytes=2
benchmark_osu_latency_MPI_isendirecv/1/manual_time_median                         1.20 us         1.61 us           50 bytes=2
benchmark_osu_latency_MPI_isendirecv/1/manual_time_stddev                        0.005 us        0.004 us           50 bytes=9.2177n
benchmark_osu_latency_MPI_isendirecv/1/manual_time_cv                             0.38 %          0.24 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/8/manual_time_mean                           1.20 us         1.60 us           50 bytes=16
benchmark_osu_latency_MPI_isendirecv/8/manual_time_median                         1.20 us         1.60 us           50 bytes=16
benchmark_osu_latency_MPI_isendirecv/8/manual_time_stddev                        0.007 us        0.006 us           50 bytes=73.7416n
benchmark_osu_latency_MPI_isendirecv/8/manual_time_cv                             0.55 %          0.36 %            50 bytes=0.00%
benchmark_osu_latency_MPI_isendirecv/64/manual_time_mean                          1.23 us         1.64 us           50 bytes=128
